-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-10-11    23:59       43 kB  ALL034.txt        ALLIANZ Obligacji Globalnych
2017-10-11    23:59       23 kB  ALL035.txt        ALLIANZ Globalny Stabilnego Dochodu
2017-10-11    23:59       20 kB  ALL036.txt        ALLIANZ Defensywna Multistrategia
2017-10-11    23:59       20 kB  ALL037.txt        ALLIANZ Dynamiczna Multistrategia
2017-10-11    23:59       20 kB  ALL038.txt        ALLIANZ Dywidendowy Akcji Europejskich
2017-10-11    23:59       15 kB  ALL039.txt        ALLIANZ Malych Spolek Europejskich
2017-10-11    23:59       20 kB  ALL040.txt        ALLIANZ Zbalansowana Multistrategia
2017-10-11    23:59       15 kB  ALL042.txt        ALLIANZ Pieniezny Globalny
2017-10-11    23:59       15 kB  ALL043.txt        ALLIANZ Europe Equity Growth Select
2017-10-11    23:59       15 kB  ALL045.txt        ALLIANZ PIMCO Global Low Duration Real Return
2017-10-11    23:59       15 kB  ALL046.txt        ALLIANZ US Short Duration High Income Bond
2017-10-11    23:59       15 kB  ALL047.txt        ALLIANZ India Equity
2017-10-11    23:59       15 kB  ALL048.txt        ALLIANZ Global Metals and Mining
2017-10-11    23:59       15 kB  ALL049.txt        ALLIANZ PIMCO Income
2017-10-11    23:59       14 kB  ALL050.txt        ALLIANZ PIMCO Emerging Markets Bond
2017-10-11    23:59       14 kB  ALL051.txt        ALLIANZ PIMCO Global Bond
2017-10-11    23:59       15 kB  ALL052.txt        ALLIANZ PIMCO Global High Yield Bond
2017-10-11    23:59       14 kB  ALL053.txt        ALLIANZ PIMCO Global Investment Grade Credit
2017-10-11    23:59       14 kB  ALL054.txt        ALLIANZ PIMCO Emerging Local Bond
2017-10-11    23:59       57 kB  ALT001.txt        ALTUS Absolutnej St. Zwr. Rynku Pol.
2017-10-11    23:59       50 kB  ALT022.txt        ALTUS Stabilnego Wzrostu
2017-10-11    23:59       47 kB  ALT023.txt        ALTUS Aktywnego Zarzadzania
2017-10-11    23:59       44 kB  ALT024.txt        ALTUS Pieniezny
2017-10-11    23:59       40 kB  ALT920.txt        ALTUS Absolutnej Stopy Zwrotu Nowej Europy
2017-10-11    23:59       40 kB  ALT921.txt        ALTUS Optymalnego Wzrostu
2017-10-11    23:59       57 kB  ALT991.txt        ALTUS Absolutnej St. Zwr. Dluzny
2017-10-11    23:59       57 kB  ALT992.txt        ALTUS Akcji
2017-10-11    23:59       54 kB  ALT993.txt        ALTUS Short
2017-10-11    23:59      230 kB  BPH001.txt        ROCKBRIDGE Obligacji 2
2017-10-11    23:59      209 kB  BPH002.txt        ROCKBRIDGE Akcji
2017-10-11    23:59      212 kB  BPH003.txt        ROCKBRIDGE Obligacji 1
2017-10-11    23:59      159 kB  BPH004.txt        ROCKBRIDGE Zrownowazony
2017-10-11    23:59      187 kB  BPH005.txt        ROCKBRIDGE Akcji Dynamicznych Spolek
2017-10-11    23:59      176 kB  BPH006.txt        ROCKBRIDGE Akcji Rynkow Wschodzacych
2017-10-11    23:59      210 kB  BPH007.txt        ROCKBRIDGE Stabilnego Wzrostu
2017-10-11    23:59      215 kB  BPH008.txt        ROCKBRIDGE Skarbowy
2017-10-11    23:59      182 kB  BPH009.txt        ROCKBRIDGE Obligacji Korporacyjnych
2017-10-11    23:59      112 kB  BPH022.txt        ROCKBRIDGE FIO Strategii Akcyjnej
2017-10-11    23:59       99 kB  BPH023.txt        ROCKBRIDGE Globalny Zywnosci i Surowcow
2017-10-11    23:59       97 kB  BPH024.txt        ROCKBRIDGE Akcji Globalny
2017-10-11    23:59       97 kB  BPH025.txt        ROCKBRIDGE Selektywny
2017-10-11    23:59       37 kB  BPH028.txt        ROCKBRIDGE Pieniezny
2017-10-11    23:59       19 kB  BPH033.txt        ROCKBRIDGE Dywidendowy
2017-10-11    23:59       73 kB  BPS001.txt        BPS Pieniezny FIO
2017-10-11    23:59       73 kB  BPS002.txt        BPS Obligacji FIO
2017-10-11    23:59       72 kB  BPS003.txt        BPS Stabilnego Wzrostu FIO
2017-10-11    23:59       69 kB  BPS004.txt        BPS Akcji FIO
2017-10-11    23:59       50 kB  BPS005.txt        BPS Plynnosciowy SFIO
2017-10-11    23:59       50 kB  BPS006.txt        BPS Obligacji Korporacyjnych SFIO
2017-10-11    23:59       56 kB  CAS001.txt        CASPAR Akcji Polskich Kat. A
2017-10-11    23:59       56 kB  CAS002.txt        CASPAR Akcji Europejskich Kat. A
2017-10-11    23:59       53 kB  CAS003.txt        CASPAR Akcji Tureckich Kat. A
2017-10-11    23:59       56 kB  CAS005.txt        CASPAR Ochrony Kapitalu Kat. A
2017-10-11    23:59       20 kB  CAS006.txt        CASPAR Globalny Kat. S
2017-10-11    23:59       34 kB  CAS902.txt        CASPAR Akcji Europejskich Kat. S
2017-10-11    23:59      226 kB  DWS001.txt        INVESTOR Zrownowazony
2017-10-11    23:59      226 kB  DWS002.txt        INVESTOR Obligacji
2017-10-11    23:59      225 kB  DWS003.txt        INVESTOR Akcji Spolek Dywidendowych
2017-10-11    23:59      221 kB  DWS004.txt        INVESTOR Akcji
2017-10-11    23:59      205 kB  DWS005.txt        INVESTOR Plynna Lokata
2017-10-11    23:59      188 kB  DWS006.txt        INVESTOR Zabezp. Emerytalnego
2017-10-11    23:59      171 kB  DWS011.txt        INVESTOR Top 25 Malych Spolek
2017-10-11    23:59      114 kB  DWS016.txt        INVESTOR Top 50 MiS Spolek
2017-10-11    23:59       98 kB  DWS019.txt        INVESTOR BRIC
2017-10-11    23:59       90 kB  DWS020.txt        INVESTOR Sektora Nier. i Budown.
2017-10-11    23:59       98 kB  DWS022.txt        INVESTOR Nowych Technologii
2017-10-11    23:59      107 kB  DWS024.txt        INVESTOR Gotowkowy
2017-10-11    23:59       99 kB  DWS025.txt        INVESTOR Gold Otwarty
2017-10-11    23:59       98 kB  DWS026.txt        INVESTOR Niemcy
2017-10-11    23:59       98 kB  DWS027.txt        INVESTOR Rosja
2017-10-11    23:59       98 kB  DWS028.txt        INVESTOR Turcja
2017-10-11    23:59       99 kB  DWS029.txt        INVESTOR Indie i Chiny
2017-10-11    23:59       98 kB  DWS031.txt        INVESTOR Ameryka Lacinska
2017-10-11    23:59       29 kB  DWS034.txt        INVESTOR Obligacji Korporacyjnych
2017-10-11    23:59       27 kB  DWS035.txt        INVESTOR Obligacji Rynkow Wschodzacych Plus
2017-10-11    23:59       28 kB  DWS036.txt        INVESTOR Akcji Spolek Wzrostowych
2017-10-11    23:59       27 kB  DWS037.txt        INVESTOR Bezpiecznego Wzrostu
2017-10-11    23:59       27 kB  DWS038.txt        INVESTOR Akcji Rynkow Wschodzacych
2017-10-11    23:59       57 kB  EQU001.txt        EQUES Akcji
2017-10-11    23:59       56 kB  EQU002.txt        EQUES Aktywnej Alokacji
2017-10-11    23:59       57 kB  EQU003.txt        EQUES Obligacji
2017-10-11    23:59       57 kB  EQU004.txt        EQUES Pieniezny
2017-10-11    23:59      214 kB  ING001.txt        NN Akcji
2017-10-11    23:59      214 kB  ING002.txt        NN Zrownowazony
2017-10-11    23:59      193 kB  ING003.txt        NN Stabilnego Wzrostu
2017-10-11    23:59      209 kB  ING004.txt        NN Gotowkowy
2017-10-11    23:59      209 kB  ING005.txt        NN Obligacji
2017-10-11    23:59      119 kB  ING006.txt        NN Srednich i Malych Spolek
2017-10-11    23:59      107 kB  ING022.txt        NN Akcji Srodkowoeuropejskich
2017-10-11    23:59      106 kB  ING024.txt        NN Lokacyjny Plus
2017-10-11    23:59       88 kB  ING025.txt        NN Globalny Spolek Dywidendowych
2017-10-11    23:59       88 kB  ING026.txt        NN Spolek Dywidendowych USA
2017-10-11    23:59       87 kB  ING027.txt        NN Europejski Spolek Dywidendowych
2017-10-11    23:59       86 kB  ING033.txt        NN Japonia
2017-10-11    23:59       87 kB  ING034.txt        NN Nowej Azji
2017-10-11    23:59       84 kB  ING035.txt        NN Spolek Dywidendowych Rynkow Wschodzacych
2017-10-11    23:59       82 kB  ING036.txt        NN Ameryki Lacinskiej
2017-10-11    23:59       88 kB  ING038.txt        NN Globalny Dlugu Korporacyjnego
2017-10-11    23:59       81 kB  ING042.txt        NN Dynamiczny Globalnej Alokacji
2017-10-11    23:59       71 kB  ING043.txt        NN Depozytowy
2017-10-11    23:59       63 kB  ING044.txt        NN Obligacji Rynkow Wschodzacych (Waluta Lokalna)
