Name,Date,Open,High,Low,Close,Volume
ALL035,20151015,100.01,100.01,100.01,100.01,0
ALL035,20151016,100.01,100.01,100.01,100.01,0
ALL035,20151019,100.02,100.02,100.02,100.02,0
ALL035,20151020,100.03,100.03,100.03,100.03,0
ALL035,20151021,100.03,100.03,100.03,100.03,0
ALL035,20151022,100.03,100.03,100.03,100.03,0
ALL035,20151023,100.04,100.04,100.04,100.04,0
ALL035,20151026,100.05,100.05,100.05,100.05,0
ALL035,20151027,100.06,100.06,100.06,100.06,0
ALL035,20151028,100.06,100.06,100.06,100.06,0
ALL035,20151029,100.06,100.06,100.06,100.06,0
ALL035,20151030,100.07,100.07,100.07,100.07,0
ALL035,20151102,100.08,100.08,100.08,100.08,0
ALL035,20151103,100.09,100.09,100.09,100.09,0
ALL035,20151104,100.09,100.09,100.09,100.09,0
ALL035,20151105,100.09,100.09,100.09,100.09,0
ALL035,20151106,100.10,100.10,100.10,100.10,0
ALL035,20151109,100.11,100.11,100.11,100.11,0
ALL035,20151110,100.12,100.12,100.12,100.12,0
ALL035,20151112,100.12,100.12,100.12,100.12,0
ALL035,20151113,100.13,100.13,100.13,100.13,0
ALL035,20151116,100.14,100.14,100.14,100.14,0
ALL035,20151117,100.15,100.15,100.15,100.15,0
ALL035,20151118,100.15,100.15,100.15,100.15,0
ALL035,20151119,100.15,100.15,100.15,100.15,0
ALL035,20151120,100.16,100.16,100.16,100.16,0
ALL035,20151123,100.17,100.17,100.17,100.17,0
ALL035,20151124,100.17,100.17,100.17,100.17,0
ALL035,20151125,100.18,100.18,100.18,100.18,0
ALL035,20151126,100.18,100.18,100.18,100.18,0
ALL035,20151127,100.19,100.19,100.19,100.19,0
ALL035,20151130,100.20,100.20,100.20,100.20,0
ALL035,20151201,100.20,100.20,100.20,100.20,0
ALL035,20151202,100.21,100.21,100.21,100.21,0
ALL035,20151203,100.21,100.21,100.21,100.21,0
ALL035,20151204,100.22,100.22,100.22,100.22,0
ALL035,20151207,100.23,100.23,100.23,100.23,0
ALL035,20151208,100.23,100.23,100.23,100.23,0
ALL035,20151209,100.24,100.24,100.24,100.24,0
ALL035,20151210,100.24,100.24,100.24,100.24,0
ALL035,20151211,100.24,100.24,100.24,100.24,0
ALL035,20151214,100.26,100.26,100.26,100.26,0
ALL035,20151215,100.26,100.26,100.26,100.26,0
ALL035,20151216,100.26,100.26,100.26,100.26,0
ALL035,20151217,100.26,100.26,100.26,100.26,0
ALL035,20151218,100.27,100.27,100.27,100.27,0
ALL035,20151221,100.28,100.28,100.28,100.28,0
ALL035,20151222,100.28,100.28,100.28,100.28,0
ALL035,20151223,100.29,100.29,100.29,100.29,0
ALL035,20151224,100.29,100.29,100.29,100.29,0
ALL035,20151228,100.31,100.31,100.31,100.31,0
ALL035,20151229,100.31,100.31,100.31,100.31,0
ALL035,20151230,100.31,100.31,100.31,100.31,0
ALL035,20151231,100.31,100.31,100.31,100.31,0
ALL035,20160104,100.33,100.33,100.33,100.33,0
ALL035,20160105,100.34,100.34,100.34,100.34,0
ALL035,20160107,100.34,100.34,100.34,100.34,0
ALL035,20160108,100.34,100.34,100.34,100.34,0
ALL035,20160111,100.36,100.36,100.36,100.36,0
ALL035,20160112,100.36,100.36,100.36,100.36,0
ALL035,20160113,100.36,100.36,100.36,100.36,0
ALL035,20160114,100.37,100.37,100.37,100.37,0
ALL035,20160115,100.37,100.37,100.37,100.37,0
ALL035,20160118,100.38,100.38,100.38,100.38,0
ALL035,20160119,100.38,100.38,100.38,100.38,0
ALL035,20160120,100.39,100.39,100.39,100.39,0
ALL035,20160121,100.39,100.39,100.39,100.39,0
ALL035,20160122,100.39,100.39,100.39,100.39,0
ALL035,20160125,100.40,100.40,100.40,100.40,0
ALL035,20160126,100.41,100.41,100.41,100.41,0
ALL035,20160127,100.41,100.41,100.41,100.41,0
ALL035,20160128,100.42,100.42,100.42,100.42,0
ALL035,20160129,100.42,100.42,100.42,100.42,0
ALL035,20160201,100.43,100.43,100.43,100.43,0
ALL035,20160202,100.43,100.43,100.43,100.43,0
ALL035,20160203,100.43,100.43,100.43,100.43,0
ALL035,20160204,100.44,100.44,100.44,100.44,0
ALL035,20160205,100.44,100.44,100.44,100.44,0
ALL035,20160208,100.45,100.45,100.45,100.45,0
ALL035,20160209,100.45,100.45,100.45,100.45,0
ALL035,20160210,100.46,100.46,100.46,100.46,0
ALL035,20160211,100.46,100.46,100.46,100.46,0
ALL035,20160212,100.46,100.46,100.46,100.46,0
ALL035,20160215,100.47,100.47,100.47,100.47,0
ALL035,20160216,100.48,100.48,100.48,100.48,0
ALL035,20160217,100.48,100.48,100.48,100.48,0
ALL035,20160218,100.47,100.47,100.47,100.47,0
ALL035,20160219,100.48,100.48,100.48,100.48,0
ALL035,20160222,100.71,100.71,100.71,100.71,0
ALL035,20160223,100.85,100.85,100.85,100.85,0
ALL035,20160224,100.53,100.53,100.53,100.53,0
ALL035,20160225,100.79,100.79,100.79,100.79,0
ALL035,20160226,101.21,101.21,101.21,101.21,0
ALL035,20160229,101.31,101.31,101.31,101.31,0
ALL035,20160301,101.76,101.76,101.76,101.76,0
ALL035,20160302,102.09,102.09,102.09,102.09,0
ALL035,20160303,102.30,102.30,102.30,102.30,0
ALL035,20160304,102.37,102.37,102.37,102.37,0
ALL035,20160307,102.43,102.43,102.43,102.43,0
ALL035,20160308,102.44,102.44,102.44,102.44,0
ALL035,20160309,102.39,102.39,102.39,102.39,0
ALL035,20160310,102.41,102.41,102.41,102.41,0
ALL035,20160311,102.54,102.54,102.54,102.54,0
ALL035,20160314,102.81,102.81,102.81,102.81,0
ALL035,20160315,102.56,102.56,102.56,102.56,0
ALL035,20160316,102.68,102.68,102.68,102.68,0
ALL035,20160317,102.92,102.92,102.92,102.92,0
ALL035,20160318,103.30,103.30,103.30,103.30,0
ALL035,20160321,103.32,103.32,103.32,103.32,0
ALL035,20160322,103.21,103.21,103.21,103.21,0
ALL035,20160323,103.26,103.26,103.26,103.26,0
ALL035,20160324,102.98,102.98,102.98,102.98,0
ALL035,20160325,102.98,102.98,102.98,102.98,0
ALL035,20160329,103.13,103.13,103.13,103.13,0
ALL035,20160330,103.31,103.31,103.31,103.31,0
ALL035,20160331,103.33,103.33,103.33,103.33,0
ALL035,20160401,103.20,103.20,103.20,103.20,0
ALL035,20160404,103.30,103.30,103.30,103.30,0
ALL035,20160405,103.08,103.08,103.08,103.08,0
ALL035,20160406,103.12,103.12,103.12,103.12,0
ALL035,20160407,103.24,103.24,103.24,103.24,0
ALL035,20160408,103.31,103.31,103.31,103.31,0
ALL035,20160411,103.44,103.44,103.44,103.44,0
ALL035,20160412,103.41,103.41,103.41,103.41,0
ALL035,20160413,103.94,103.94,103.94,103.94,0
ALL035,20160414,104.12,104.12,104.12,104.12,0
ALL035,20160415,104.22,104.22,104.22,104.22,0
ALL035,20160418,104.15,104.15,104.15,104.15,0
ALL035,20160419,104.51,104.51,104.51,104.51,0
ALL035,20160420,104.56,104.56,104.56,104.56,0
ALL035,20160421,104.63,104.63,104.63,104.63,0
ALL035,20160422,104.54,104.54,104.54,104.54,0
