Name,Date,Open,High,Low,Close,Volume
KBC005,20011220,100.27,100.27,100.27,100.27,0
KBC005,20011221,100.29,100.29,100.29,100.29,0
KBC005,20011227,100.44,100.44,100.44,100.44,0
KBC005,20011228,100.46,100.46,100.46,100.46,0
KBC005,20011231,100.54,100.54,100.54,100.54,0
KBC005,20020102,100.56,100.56,100.56,100.56,0
KBC005,20020103,100.58,100.58,100.58,100.58,0
KBC005,20020104,100.61,100.61,100.61,100.61,0
KBC005,20020107,100.71,100.71,100.71,100.71,0
KBC005,20020108,100.75,100.75,100.75,100.75,0
KBC005,20020109,100.89,100.89,100.89,100.89,0
KBC005,20020110,100.93,100.93,100.93,100.93,0
KBC005,20020111,100.97,100.97,100.97,100.97,0
KBC005,20020114,101.04,101.04,101.04,101.04,0
KBC005,20020115,101.12,101.12,101.12,101.12,0
KBC005,20020116,101.15,101.15,101.15,101.15,0
KBC005,20020117,101.21,101.21,101.21,101.21,0
KBC005,20020118,101.27,101.27,101.27,101.27,0
KBC005,20020121,101.35,101.35,101.35,101.35,0
KBC005,20020122,101.37,101.37,101.37,101.37,0
KBC005,20020123,101.37,101.37,101.37,101.37,0
KBC005,20020124,101.47,101.47,101.47,101.47,0
KBC005,20020125,101.48,101.48,101.48,101.48,0
KBC005,20020128,101.57,101.57,101.57,101.57,0
KBC005,20020129,101.59,101.59,101.59,101.59,0
KBC005,20020130,101.62,101.62,101.62,101.62,0
KBC005,20020131,101.55,101.55,101.55,101.55,0
KBC005,20020201,101.55,101.55,101.55,101.55,0
KBC005,20020204,101.61,101.61,101.61,101.61,0
KBC005,20020205,101.62,101.62,101.62,101.62,0
KBC005,20020206,101.66,101.66,101.66,101.66,0
KBC005,20020207,101.74,101.74,101.74,101.74,0
KBC005,20020208,101.76,101.76,101.76,101.76,0
KBC005,20020211,101.81,101.81,101.81,101.81,0
KBC005,20020212,101.87,101.87,101.87,101.87,0
KBC005,20020213,101.90,101.90,101.90,101.90,0
KBC005,20020214,101.90,101.90,101.90,101.90,0
KBC005,20020215,101.91,101.91,101.91,101.91,0
KBC005,20020218,101.98,101.98,101.98,101.98,0
KBC005,20020219,102.48,102.48,102.48,102.48,0
KBC005,20020220,102.31,102.31,102.31,102.31,0
KBC005,20020221,102.32,102.32,102.32,102.32,0
KBC005,20020222,102.59,102.59,102.59,102.59,0
KBC005,20020225,102.46,102.46,102.46,102.46,0
KBC005,20020226,102.47,102.47,102.47,102.47,0
KBC005,20020227,102.52,102.52,102.52,102.52,0
KBC005,20020228,102.73,102.73,102.73,102.73,0
KBC005,20020301,102.60,102.60,102.60,102.60,0
KBC005,20020304,102.68,102.68,102.68,102.68,0
KBC005,20020305,102.76,102.76,102.76,102.76,0
KBC005,20020306,102.81,102.81,102.81,102.81,0
KBC005,20020307,102.76,102.76,102.76,102.76,0
KBC005,20020308,102.80,102.80,102.80,102.80,0
KBC005,20020311,102.90,102.90,102.90,102.90,0
KBC005,20020312,102.96,102.96,102.96,102.96,0
KBC005,20020313,103.09,103.09,103.09,103.09,0
KBC005,20020314,103.09,103.09,103.09,103.09,0
KBC005,20020315,103.14,103.14,103.14,103.14,0
KBC005,20020318,103.23,103.23,103.23,103.23,0
KBC005,20020319,103.16,103.16,103.16,103.16,0
KBC005,20020320,103.20,103.20,103.20,103.20,0
KBC005,20020321,103.18,103.18,103.18,103.18,0
KBC005,20020322,103.22,103.22,103.22,103.22,0
KBC005,20020325,103.23,103.23,103.23,103.23,0
KBC005,20020326,103.30,103.30,103.30,103.30,0
KBC005,20020327,103.30,103.30,103.30,103.30,0
KBC005,20020328,103.40,103.40,103.40,103.40,0
KBC005,20020402,103.55,103.55,103.55,103.55,0
KBC005,20020403,103.59,103.59,103.59,103.59,0
KBC005,20020404,103.57,103.57,103.57,103.57,0
KBC005,20020405,103.51,103.51,103.51,103.51,0
KBC005,20020408,103.58,103.58,103.58,103.58,0
KBC005,20020409,103.62,103.62,103.62,103.62,0
KBC005,20020410,103.63,103.63,103.63,103.63,0
KBC005,20020411,103.68,103.68,103.68,103.68,0
KBC005,20020412,103.72,103.72,103.72,103.72,0
KBC005,20020415,103.86,103.86,103.86,103.86,0
KBC005,20020416,103.85,103.85,103.85,103.85,0
KBC005,20020417,103.88,103.88,103.88,103.88,0
KBC005,20020418,104.02,104.02,104.02,104.02,0
KBC005,20020419,104.15,104.15,104.15,104.15,0
KBC005,20020422,104.15,104.15,104.15,104.15,0
KBC005,20020423,104.05,104.05,104.05,104.05,0
KBC005,20020424,104.24,104.24,104.24,104.24,0
KBC005,20020425,104.22,104.22,104.22,104.22,0
KBC005,20020426,104.17,104.17,104.17,104.17,0
KBC005,20020429,104.33,104.33,104.33,104.33,0
KBC005,20020430,104.37,104.37,104.37,104.37,0
KBC005,20020502,104.33,104.33,104.33,104.33,0
KBC005,20020506,104.50,104.50,104.50,104.50,0
KBC005,20020507,104.48,104.48,104.48,104.48,0
KBC005,20020508,104.47,104.47,104.47,104.47,0
KBC005,20020509,104.58,104.58,104.58,104.58,0
KBC005,20020510,104.60,104.60,104.60,104.60,0
KBC005,20020513,104.68,104.68,104.68,104.68,0
KBC005,20020514,104.64,104.64,104.64,104.64,0
KBC005,20020515,104.80,104.80,104.80,104.80,0
KBC005,20020516,104.80,104.80,104.80,104.80,0
KBC005,20020517,104.84,104.84,104.84,104.84,0
KBC005,20020520,104.88,104.88,104.88,104.88,0
KBC005,20020521,104.92,104.92,104.92,104.92,0
KBC005,20020522,105.02,105.02,105.02,105.02,0
KBC005,20020523,105.00,105.00,105.00,105.00,0
KBC005,20020524,105.07,105.07,105.07,105.07,0
KBC005,20020527,105.13,105.13,105.13,105.13,0
KBC005,20020528,105.19,105.19,105.19,105.19,0
KBC005,20020529,105.27,105.27,105.27,105.27,0
KBC005,20020531,105.36,105.36,105.36,105.36,0
KBC005,20020603,105.48,105.48,105.48,105.48,0
KBC005,20020604,105.46,105.46,105.46,105.46,0
KBC005,20020605,105.49,105.49,105.49,105.49,0
KBC005,20020606,105.52,105.52,105.52,105.52,0
KBC005,20020607,105.52,105.52,105.52,105.52,0
KBC005,20020610,105.65,105.65,105.65,105.65,0
KBC005,20020611,105.80,105.80,105.80,105.80,0
KBC005,20020612,105.85,105.85,105.85,105.85,0
KBC005,20020613,106.01,106.01,106.01,106.01,0
KBC005,20020614,106.03,106.03,106.03,106.03,0
KBC005,20020617,105.99,105.99,105.99,105.99,0
KBC005,20020618,106.08,106.08,106.08,106.08,0
KBC005,20020619,106.14,106.14,106.14,106.14,0
KBC005,20020620,106.17,106.17,106.17,106.17,0
KBC005,20020621,106.15,106.15,106.15,106.15,0
KBC005,20020624,106.25,106.25,106.25,106.25,0
KBC005,20020625,106.26,106.26,106.26,106.26,0
KBC005,20020626,106.46,106.46,106.46,106.46,0
KBC005,20020627,106.52,106.52,106.52,106.52,0
KBC005,20020628,106.56,106.56,106.56,106.56,0
KBC005,20020701,106.61,106.61,106.61,106.61,0
KBC005,20020702,106.64,106.64,106.64,106.64,0
KBC005,20020703,106.65,106.65,106.65,106.65,0
KBC005,20020704,106.63,106.63,106.63,106.63,0
KBC005,20020705,106.69,106.69,106.69,106.69,0
KBC005,20020708,106.64,106.64,106.64,106.64,0
KBC005,20020709,106.73,106.73,106.73,106.73,0
KBC005,20020710,106.70,106.70,106.70,106.70,0
KBC005,20020711,106.70,106.70,106.70,106.70,0
KBC005,20020712,106.79,106.79,106.79,106.79,0
KBC005,20020715,106.99,106.99,106.99,106.99,0
KBC005,20020716,107.04,107.04,107.04,107.04,0
KBC005,20020717,107.08,107.08,107.08,107.08,0
KBC005,20020718,107.18,107.18,107.18,107.18,0
KBC005,20020719,107.17,107.17,107.17,107.17,0
KBC005,20020722,107.19,107.19,107.19,107.19,0
KBC005,20020723,107.18,107.18,107.18,107.18,0
KBC005,20020724,107.21,107.21,107.21,107.21,0
KBC005,20020725,107.26,107.26,107.26,107.26,0
KBC005,20020726,107.31,107.31,107.31,107.31,0
KBC005,20020729,107.42,107.42,107.42,107.42,0
KBC005,20020730,107.57,107.57,107.57,107.57,0
KBC005,20020731,107.59,107.59,107.59,107.59,0
KBC005,20020801,107.62,107.62,107.62,107.62,0
KBC005,20020802,107.76,107.76,107.76,107.76,0
KBC005,20020805,107.87,107.87,107.87,107.87,0
KBC005,20020806,107.90,107.90,107.90,107.90,0
KBC005,20020807,107.89,107.89,107.89,107.89,0
KBC005,20020808,107.93,107.93,107.93,107.93,0
KBC005,20020809,108.08,108.08,108.08,108.08,0
KBC005,20020812,108.09,108.09,108.09,108.09,0
KBC005,20020813,108.14,108.14,108.14,108.14,0
KBC005,20020814,108.17,108.17,108.17,108.17,0
KBC005,20020816,108.24,108.24,108.24,108.24,0
KBC005,20020819,108.34,108.34,108.34,108.34,0
KBC005,20020820,108.34,108.34,108.34,108.34,0
KBC005,20020821,108.37,108.37,108.37,108.37,0
KBC005,20020822,108.44,108.44,108.44,108.44,0
KBC005,20020823,108.50,108.50,108.50,108.50,0
KBC005,20020826,108.54,108.54,108.54,108.54,0
KBC005,20020827,108.53,108.53,108.53,108.53,0
KBC005,20020828,108.55,108.55,108.55,108.55,0
KBC005,20020829,108.54,108.54,108.54,108.54,0
KBC005,20020830,108.76,108.76,108.76,108.76,0
KBC005,20020902,108.82,108.82,108.82,108.82,0
KBC005,20020903,108.82,108.82,108.82,108.82,0
KBC005,20020904,108.90,108.90,108.90,108.90,0
KBC005,20020905,108.95,108.95,108.95,108.95,0
KBC005,20020906,109.12,109.12,109.12,109.12,0
KBC005,20020909,109.19,109.19,109.19,109.19,0
KBC005,20020910,109.47,109.47,109.47,109.47,0
KBC005,20020911,109.43,109.43,109.43,109.43,0
KBC005,20020912,109.41,109.41,109.41,109.41,0
KBC005,20020913,109.58,109.58,109.58,109.58,0
KBC005,20020916,109.57,109.57,109.57,109.57,0
KBC005,20020917,109.59,109.59,109.59,109.59,0
KBC005,20020918,109.69,109.69,109.69,109.69,0
KBC005,20020919,109.74,109.74,109.74,109.74,0
KBC005,20020920,109.70,109.70,109.70,109.70,0
KBC005,20020923,109.76,109.76,109.76,109.76,0
KBC005,20020924,109.82,109.82,109.82,109.82,0
